first_name,last_name,date_of_birth,gender,position,department,hire_date,salary,performance_rating,salary_increase,absenteeism_days,overtime_hours,satisfaction_score,feedback_text,will_leave
AZER,yuio,1999-02-12,2,FGHJK,Unknown,2024-01-01,1000.0,7.0,0.01,0,7,0.0,0.0,
Alex,Williams,2004-04-08,0,Analyst,IT,2021-10-02,44041.67763981929,2.403950683025824,0.011616722433639893,23,3,2.285801361297467,Poor,1.0
John,Smith,1977-08-25,1,Manager,HR,2023-07-23,46364.24704863905,2.650640588680904,0.06084844859190755,21,11,1.2075618253727418,Poor,0.0
Alex,Smith,2001-01-07,1,Analyst,HR,2021-12-28,100665.83652537123,2.7970640394252375,0.10284688768272232,24,2,8.739463660626885,Poor,0.0
John,Johnson,1991-11-10,1,Developer,HR,2023-12-14,64687.48522859245,1.1436962699819277,0.0461787651244298,27,14,7.149371669429124,Good,1.0
Alex,Johnson,1966-10-24,0,Manager,HR,2021-10-25,76806.12190600298,5.920392514089517,0.03697089110510541,17,11,9.455490474077703,Average,1.0
Jane,Johnson,1970-10-01,0,Manager,Finance,2021-02-13,34070.45600194843,3.927972976869379,0.07773545793789641,17,14,8.458637582367365,Average,0.0
Emily,Williams,1983-02-27,0,Developer,IT,2024-07-28,44874.02451567022,1.1407276606707453,0.08468029614127393,0,11,3.641393572462343,Poor,0.0
Alex,Doe,2005-07-21,0,Analyst,IT,2023-07-30,36664.01865606813,4.226191556898454,0.023173811905025946,6,8,6.609683141448022,Average,0.0
Emily,Johnson,1999-11-27,1,Developer,Finance,2022-09-28,87380.17242196918,8.98491468318694,0.09444298503238986,4,14,7.419203085006955,Good,0.0
Jane,Johnson,1987-09-15,1,Analyst,Finance,2023-07-16,93959.66007172086,1.998017387306482,0.08786730037315403,18,6,5.278332008639006,Good,1.0
Emily,Smith,1966-01-18,0,Analyst,IT,2020-01-07,97999.60246887438,3.059183489424602,0.0153959819657586,26,18,2.4509915852860398,Average,1.0
John,Smith,1975-10-26,1,Manager,HR,2020-11-26,59191.05189047466,2.09879159230606,0.07125956761539498,29,0,3.4491902444617177,Poor,1.0
John,Williams,1970-04-27,0,Analyst,Finance,2022-09-02,75967.25723198091,4.7566990283390105,0.04442156209414605,18,9,4.038536542632651,Poor,0.0
Jane,Williams,1968-07-07,1,Developer,IT,2020-06-13,52852.38725409102,3.221884565547411,0.13926085456795767,2,16,2.332782369580599,Good,0.0
John,Smith,1993-08-27,1,Manager,Finance,2019-10-18,111743.92973699883,3.1560570160027517,0.02897897441824462,11,5,3.178497443603504,Poor,0.0
Emily,Johnson,1971-11-20,0,Manager,IT,2022-03-12,118508.08268053587,4.589419982000978,0.1632863746438768,15,0,2.356457895688865,Poor,1.0
Emily,Doe,1979-04-14,1,Analyst,Finance,2020-11-11,76088.37524693529,3.0384619767814414,0.12903455808189,19,8,7.218439642922194,Poor,1.0
Emily,Doe,2001-09-09,1,Developer,IT,2024-03-14,78730.31764448092,7.2620595941057395,0.04571000435945993,15,15,5.996807304395161,Good,1.0
John,Williams,1966-09-06,1,Developer,IT,2021-05-16,86979.13115459411,4.051268119438307,0.06984191492253218,15,15,9.073992339573193,Average,1.0
John,Williams,1971-04-07,0,Developer,HR,2024-04-30,84578.61536936309,1.0827734645496667,0.020294308573206424,2,17,2.4472724627574878,Average,1.0
Jane,Johnson,1973-10-25,0,Developer,IT,2020-03-22,51352.417874712,3.9285972834334095,0.14929828102360485,7,6,7.488459318269164,Good,1.0
Emily,Johnson,1984-08-01,1,Analyst,HR,2022-07-24,83088.37628044895,9.810035724475082,0.09734843059189102,7,1,4.150705669252082,Good,1.0
Alex,Williams,1991-04-17,0,Developer,Finance,2020-05-25,32188.436978830847,6.80925066316451,0.03542213588140979,27,13,9.233779511984036,Poor,1.0
John,Doe,2000-04-02,0,Developer,HR,2024-02-13,81506.32222537545,9.82298425344441,0.015069251201225643,28,0,3.852298046406499,Average,0.0
Jane,Johnson,1988-04-03,1,Analyst,HR,2019-08-23,48802.68458538242,7.040291651416456,0.07172935625923278,26,9,8.8963576473516,Good,1.0
John,Doe,1972-04-23,1,Analyst,IT,2019-12-11,102842.50399306623,8.291020552112627,0.17341446371602076,12,6,5.513646652184796,Good,1.0
John,Williams,1988-05-27,1,Manager,Finance,2023-04-29,32485.509468633423,6.209784059568029,0.0876948246036174,21,18,5.190382163192141,Poor,1.0
John,Smith,1988-12-11,1,Manager,IT,2019-12-01,33495.126098648085,3.7293896320590054,0.10741648543933109,4,0,8.450821034088298,Good,0.0
